Datetime,Tweet Id,Text,Username
2020-06-29 06:28:32+00:00,1277489107959025665,Kegiatan belajar mengajar masih akan tetap dilakukan secara daring di rumah ketika Tahun Ajaran Baru 2020/2021 dimulai. #publisherstory https://t.co/BQC8ZjKQP3,kumparan
2020-06-29 06:20:37+00:00,1277487113563299840,"@collegemenfess berikut adalah template mahasiswa belajar daring:
""baik pak/bu""
""terima kasih pak/bu""
""hadir pak/bu""
""mengerti pak/bu""
""kurang tau pak/bu""",whyrendoy
2020-06-29 05:04:59+00:00,1277468083301445632,"@collegemenfess Sinyal buat belajar daring sih oke gue, tp penunjangnya yaitu laptop ga cocok sm app buat daring (ex google meet) krn sudah terlalu tua mau beli ga mampu kak udh abis duitnya buat kampus ku yg apa apa di duitin",TsabitSabil
2020-06-29 04:56:53+00:00,1277466042822844416,@collegemenfess anak tk belajar bacanya gimana ya kalo daring?,pepejet_
2020-06-29 04:42:47+00:00,1277462494655557633,"Atau, pembelajarannya jadi via chatting yang sebenernya sama sekali ngga efektif.

Tapi balik lagi, banyak faktor. Mungkin karena memang nggak semua dosen/guru punya fasilitas untuk menunjang sistem belajar daring ini.

Jadi yaa... yaudah.",fxchandra03
2020-06-29 04:17:08+00:00,1277456040775176193,"@collegemenfess gua sih dpet sisi positif sama negatifnya.
Positifnya nilai ga ada yg ancur. Negatifnya bagi orang yg emang sistem belajarnya harus temu langsung ya bakal dirugikan dgn sistem daring ini.
Kalo daring jdi ga mudeng bahkan harus belajar sendiri yg kita gatau.",keburutel4t
2020-06-29 04:14:23+00:00,1277455348454928384,ini bisa tau sakala lebih baik itu gimana? maksudnya mereka pake survei apa si? sebagian besar lingkungan gua ngerasa belajar daring ga lebih baik 🙂🙂 https://t.co/Y904dal3GR,anakgula
2020-06-29 03:55:11+00:00,1277450515832430596,Pemkab Gowa Putuskan Aktivitas Belajar di Tahun Ajaran Baru Masih Lewat Daring - https://t.co/cTm9jjtvyR https://t.co/G5h6tSDN2V,gosulselcom
2020-06-29 03:51:13+00:00,1277449516166164481,"@collegemenfess Ketika kuliah daring, aku cuma ngerasa punya tanggung jawab untuk kuliah aja. Presensi, ngerjain tugas, atau segala cara buat menuhin keinginan dosen kaya bikin postingan, bikin esai. 

Dan aku gak berusaha buat belajar/memahami setiap materi.",woocherrys
2020-06-29 03:41:56+00:00,1277447179221602306,"Di taun pertama kemarin 3x salah masuk kelas, 1x salah masuk di jam pelajaran orang, 1x lupa masuk kelas. Kesalahan2 tsb mungkin ga akan terulang lg tp bukannya seneng malah bete karena itu berarti belajar masih daring 😢😢",enggipl
